storeNumber,countryCode,latitude,longitude,streetAddressLine1,city,countrySubdivisionCode,postalCode
3306-2068,US,47.57883,-122.41116,2742 Alki Ave SW,Seattle,WA,981162812
348-76040,US,47.639717,-122.3998,3300 W. McGraw Street,Seattle,WA,981993246
15947-155025,US,47.579567,-122.38632,2622 California Ave SW,Seattle,WA,981162459
339-102,US,47.581034,-122.38407,4101 SW Admiral Way,Seattle,WA,981162517
5119-100714,US,47.670638,-122.38727,2237 NW 58th ST,Seattle,WA,981073136
318-80,US,47.668875,-122.385,2200 NW Market Street,Seattle,WA,981074024
9447-95022,US,47.62982,-122.3721,1144 Elliott Avenue West,Seattle,WA,981193103
24837-236918,US,47.560942,-122.38659,4233 SW Alaska St.,Seattle,WA,981164524
5124-142239,US,47.561286,-122.38468,4550 42nd Ave SW,Seattle,WA,981164527
74972-101072,US,47.55983,-122.38489,4754 42nd Ave SW,Seattle,WA,981164553
19991-199464,US,47.666939,-122.37591,5221 15th Ave NW,Seattle,WA,981073806
74169-118686,US,47.668564,-122.37439,1423 NW Market St,Seattle,WA,981073744
11668-103809,US,47.564283,-122.37704,4408 Fauntleroy Way SW,Seattle,WA,981264440
58970-139829,US,47.660595,-122.36859,915 NW 45th Street,Seattle,WA,981074606
3202-6,US,47.54463,-122.38752,6501 California Ave,Seattle,WA,981361899
74395-50719,US,47.623776,-122.3578,516 1st Ave W,Seattle,WA,981094522
3355-42599,US,47.622934,-122.35691,425 Queen Anne Avenue N,Seattle,WA,981094517
74260-112986,US,47.69018,-122.37619,8340 15th Ave NW,Seattle,WA,98117
314-8,US,47.638249,-122.35716,2135 Queen Anne Ave N,Seattle,WA,981092310
79503-101467,US,47.637724,-122.35628,2100 Queen Anne Ave N,Seattle,WA,981092309
3204-3,US,47.621052,-122.3508,305 Harrison Street,Seattle,WA,981094623
79485-102667,US,47.624725,-122.34726,500 Mercer Avenue,Seattle,WA,981094654
370-211284,US,47.649834,-122.35014,3401 Fremont Avenue N,Seattle,WA,981038866
3296-9257,US,47.61255,-122.34278,211 Lenora,Seattle,WA,981212235
301-67,US,47.610047,-122.34259,1912 Pike Place,Seattle,WA,981011013
74349-84924,US,47.520752,-122.26821,9262 Rainier Ave S,Seattle,WA,981185570
12950-155384,US,47.537471,-122.28307,3900 S Othello St,Seattle,WA,981183543
11158-99264,US,47.545883,-122.2851,6310 Martin Luther King Jr. Way S,Seattle,WA,98118
24284-236926,US,47.569072,-122.28834,3820 Rainier Avenue South,Seattle,WA,98118
79347-100350,US,47.579087,-122.29977,2707 Rainier Avenue South,Seattle,WA,981445332
14247-137176,US,47.566563,-122.32964,4115 4th Avenue S,Seattle,WA,981342309
50621-275765,US,47.581011,-122.33531,2401 Utah Ave. S,Seattle,WA,98134
3376-12811,US,47.522721,-122.36558,9023 25th Ave SW,Seattle,WA,981060908
27542-244346,US,47.522047,-122.3687,2800 SW Barton St,Seattle,WA,98126
79328-101213,US,47.522233,-122.36567,2500 SW Barton,Seattle,WA,98126
9303-95447,US,47.5842,-122.33394,1962 1st Ave S.,Seattle,WA,981341406
3408-270326,US,47.546162,-122.32563,601 S Michigan St,Seattle,WA,981082634
74225-56780,US,47.516681,-122.36708,9620 28th Ave SW,Seattle,WA,981264102
49009-260729,US,47.513851,-122.35493,9862 16th Ave SW,Seattle,WA,98146
3307-9256,US,47.597655,-122.32829,505 5th Ave South,Seattle,WA,981043891
2937-84565,US,47.604867,-122.33971,1101 Alaskan Way,Seattle,WA,981012981
65375-299342,US,47.606964,-122.3385,1305 1st Ave,Seattle,WA,98101
